"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SPICEPREFIX";
"1";"";"CONN_08NO_SILK_FEMALE_PTH";"1X08_NO_SILK";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"CONN-08438";"";
"1";"0.1uF";"C-EUC0402K";"C0402K";"C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"1";"100K";"R-EU_R0402";"R0402";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"R";
"6";"10K";"R-EU_R0402";"R0402";"R1, R2, R5, R6, R7, R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"R";
"1";"10uF";"C-EUC0402K";"C0402K";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"4";"1uF";"C-EUC0402K";"C0402K";"C4, C5, C6, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"2";"2.2uF";"C-EUC0402K";"C0402K";"C1, C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";
"1";"49.9K";"R-EU_R0402";"R0402";"R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"R";
"1";"GAIN";"PINHD-2X4";"2X04";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";
"2";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"MH1, MH2";"Mounting Hole";"";"";"";"";"";"";"";"";
"1";"NC7SZ04L6X";"NC7SZ04L6X";"MICROPAK-6";"U2";"";"";"";"";"";"";"";"";"";
"1";"STEREOJACKSTX3120-5B";"STEREOJACKSTX3120-5B";"STX3100";"X1";"MIC/HEADPHONE JACK";"";"";"";"";"";"";"";"";
"1";"TPA6132A2RTER";"TPA6132A2RTER";"QFN50P300X300X80-16N";"U1";"25-mW DIRECTPATH? STEREO HEADPHONE AMPLIFIER WITH POP SUPPRESSION";"Unavailable";" 25-mW DirectPath Stereo Headphone Amplifier with Pop Suppression _TPA6132_ 16-WQFN -40 to 85 ";"Texas Instruments";"TPA6132A2RTER";"WQFN-16 Texas Instruments";"None";"";"";
